wavelength (nm), number of absorbed photons
300, 2220221.0
310, 2697170.0
320, 2965805.0
330, 3098466.0
340, 3100780.0
350, 2991401.0
360, 3001717.0
370, 3265150.0
380, 3447492.0
390, 3562263.0
400, 3617353.0
410, 3639640.0
420, 3585761.0
430, 3539634.0
440, 3517445.0
450, 3465742.0
460, 3403419.0
470, 3321341.0
480, 3162663.0
490, 3044608.0
500, 3002846.0
510, 2969351.0
520, 2840989.0
530, 2594891.0
540, 2314294.0
550, 2079525.0
560, 1918069.0
570, 1795412.0
580, 1685506.0
590, 1591616.0
600, 1484895.0
